Time,Document,Desk,DoorHandle,Hand_1,Hand_2,Mucosa_1,Mucosa_2,Air,Viral Exposure_Fomites_1,Viral Exposure_Fomites_2,Viral Exposure_CloseContact_1,Viral Exposure_CloseContact_2,Viral Exposure_Aerosol_1,Viral Exposure_Aerosol_2,Viral Exposure_Total_1,Viral Exposure_Total_2,Risk_1,Risk_2
11.9140930736016,8133941.57326008,34446284.9516961,251019.613999391,352464.136387042,571933.503704369,446152.181401147,4000000,532322.504138943,715200.612021903,4000000,100674.958239287,4000000,57498.8013016461,4000000,873374.371562835,4000000,0.890417146008175,0.999959998046938
11.9213536852892,7932240.69618973,33589782.246947,244828.475381914,347603.713837458,564054.828688556,446447.817419989,4000000,532322.505481447,715942.228113522,4000000,100736.656013164,4000000,57536.4849248961,4000000,874215.369051581,4000000,0.890650211492975,0.999959998046938
11.9286142969768,7650272.95033918,32393617.487783,236156.165463637,340678.008578421,552921.734431234,446731.239426011,4000000,532322.506811592,716671.958265058,4000000,100798.35378704,4000000,57574.1685482407,4000000,875044.480600338,4000000,0.890879497789923,0.999959998046938
11.9358749086644,7302077.25546024,30917326.6504194,225434.570708194,331927.123405145,538947.117081777,446998.824249169,4000000,532322.508129494,717386.16573716,4000000,100860.051560916,4000000,57611.852171679,4000000,875858.069469755,4000000,0.891104024014354,0.999959998046938
11.943135520352,6898906.44796978,29208676.6920428,213009.947953359,321503.619713556,522403.238039395,447246.099056498,4000000,532322.509435265,718080.3578268,4000000,100921.749334793,4000000,57649.5357952102,4000000,876651.642956802,4000000,0.891322581507101,0.999959998046938
11.9558005516193,6094832.5937976,25802582.7200658,188209.419426702,299735.853509755,488101.509197672,447617.928412352,4000000,532322.511684278,719232.386903958,4000000,101029.37170449,4000000,57715.269137306,4000000,877977.027745754,4000000,0.891686627107625,0.999959998046938
11.9684655828867,5215473.01060382,22079412.2850995,161063.618338603,274283.745379103,448295.471736013,447900.848331611,4000000,532322.513897304,720296.157325478,4000000,101136.994074188,4000000,57781.0024796773,4000000,879214.153879343,4000000,0.892025330109377,0.999959998046938
11.981130614154,4322191.98821364,18298955.4713838,133468.522355524,246330.148886134,404833.486738567,448083.862406862,4000000,532322.516074918,721260.486451498,4000000,101244.616443885,4000000,57846.7358223196,4000000,880351.838717702,4000000,0.892335872919857,0.999959998046938
11.9937956454214,3469476.92104478,14691692.8400077,107110.359909642,217136.086529984,359636.906287897,448160.485129781,4000000,532322.518217686,722118.684073606,4000000,101352.238813583,4000000,57912.4691652287,4000000,881383.392052417,4000000,0.892616673921568,0.999959998046938
12.0064606766887,2737690.43027785,11597532.8813053,84475.5543097497,189501.175955815,317156.562153163,448131.785694451,4000000,532322.520326167,722871.605448667,4000000,101459.86118328,4000000,57978.2025084003,4000000,882309.669140347,4000000,0.892868193366365,0.999959998046938
12.0191257079561,2189005.09435487,9279493.98776936,67487.5305555119,166483.897649411,282353.470743786,448008.714683224,4000000,532322.522400909,723530.004587445,4000000,101567.483552978,4000000,58043.9358518302,4000000,883141.423992253,4000000,0.893093544375663,0.999959998046938
12.0294842197496,1867873.56439634,7924517.64769665,57530.5627906858,151698.230500335,260576.082321394,447851.628304285,4000000,532322.524073117,724011.833253524,4000000,101655.506042794,4000000,58097.6980258956,4000000,883765.037322214,4000000,0.893262191696147,0.999959998046938
12.035871576765,1716689.34135854,7287506.99920164,52835.620257483,144248.502321879,249905.938792851,447733.92944921,4000000,532322.525093299,724287.969596719,4000000,101709.783247768,4000000,58130.849332511,4000000,884128.602176997,4000000,0.89336038982866,0.999959998046938
12.0422589337803,1591765.03582592,6761827.9556555,48950.5486173384,137836.628789003,240955.894210142,447603.507875574,4000000,532322.52610522,724551.257635592,4000000,101764.060452742,4000000,58164.0006391897,4000000,884479.318727524,4000000,0.893455032050118,0.999959998046938
12.0486462907957,1488477.81104724,6327910.76615447,45732.5172506214,132328.363432451,233509.201657273,447462.142957091,4000000,532322.527108945,724803.465784159,4000000,101818.337657716,4000000,58197.1519459311,4000000,884818.955387806,4000000,0.893546604263322,0.999959998046938
12.0550336478111,1403585.54374677,5972039.02877822,43081.2776237561,127629.525803518,227416.497218207,447311.408581129,4000000,532322.528104538,725046.158228502,4000000,101872.61486269,4000000,58230.3032527348,4000000,885149.076343926,4000000,0.893635535442348,0.999959998046938
12.0633112781341,1317264.75747441,5611438.85566942,40374.9857969619,122635.927195066,221366.954568495,447104.314306148,4000000,532322.529382768,725348.690920522,4000000,101942.954854123,4000000,58273.2653515141,4000000,885564.911126158,4000000,0.893747451317328,0.999959998046938
12.0715889084572,1253799.35091643,5347956.20012654,38371.590462931,118759.08957276,217219.63518163,446886.627524232,4000000,532322.530647587,725640.356276721,4000000,102013.294845556,4000000,58316.2274503961,4000000,885969.878572673,4000000,0.893856329225061,0.999959998046938
12.0798665387802,1210113.49897866,5168633.01515921,36975.4676531678,115898.192150815,214827.838128883,446661.039193657,4000000,532322.531899139,725923.832663353,4000000,102083.634836989,4000000,58359.1895493796,4000000,886366.657049721,4000000,0.893962897272011,0.999959998046938
12.0881441691033,1184180.68659588,5064970.50080349,36123.2489081903,113980.335889353,214092.818929965,446429.988236339,4000000,532322.533137565,726201.550055112,4000000,102153.974828422,4000000,58402.1516484636,4000000,886757.676531997,4000000,0.894067813873046,0.999959998046938
12.0964217994263,1174841.02480802,5032158.9736728,35778.1565081784,112956.995144296,214958.157929313,446195.713792228,4000000,532322.534363004,726475.741895316,4000000,102224.314819855,4000000,58445.1137476471,4000000,887145.170462818,4000000,0.894171682105344,0.999959998046938
12.1072520646742,1177768.75333258,5053962.63207936,35788.9312388759,112440.507752447,217544.471441207,445887.096229999,4000000,532322.535946954,726831.93012449,4000000,102316.346081825,4000000,58501.3243916156,4000000,887649.600597931,4000000,0.894306742665182,0.999959998046938
12.1180823299221,1186668.77996374,5101260.77139816,35981.8844866,112258.086392242,220660.585955982,445578.235628821,4000000,532322.537509205,727187.352116861,4000000,102408.377343796,4000000,58557.5350357502,4000000,888153.264496407,4000000,0.894441426091091,0.999959998046938
12.12891259517,1195348.66891578,5147561.83401984,36168.3137621341,112080.270899398,223687.32796449,445268.981221931,4000000,532322.539050053,727541.857020969,4000000,102500.408605767,4000000,58613.7456800487,4000000,888656.011306784,4000000,0.894575693124053,0.999959998046938
12.1397428604179,1202896.23123232,5188940.6561446,36320.5904467113,111857.621707648,226529.667939251,444959.303676007,4000000,532322.540569793,727895.412242693,4000000,102592.439867737,4000000,58669.9563245088,4000000,889157.808434939,4000000,0.894709536228547,0.999959998046938
12.1505731256658,1210073.26517733,5228634.07185855,36462.0211524867,111628.947760372,229259.804563874,444649.624567487,4000000,532322.542068714,728248.438586321,4000000,102684.471129708,4000000,58726.1669691282,4000000,889659.076685157,4000000,0.894843068612569,0.999959998046938
12.168138779444,1222034.85351242,5294182.68673345,36702.0702505337,111303.094714619,233567.8185146,444147.654949642,4000000,532322.544456453,728820.196582811,4000000,102833.737029254,4000000,58817.3352556873,4000000,890471.268867752,4000000,0.895059068336403,0.999959998046938
12.1857044332222,1234188.20936339,5360323.74186151,36948.9746237111,111022.284233747,237718.52518729,443645.787951806,4000000,532322.546791393,729390.676270173,4000000,102983.002928799,4000000,58908.5035426504,4000000,891282.182741622,4000000,0.895274285466245,0.999959998046938
12.2032700870005,1246450.35066592,5426716.85599558,37200.1625976098,110781.106366047,241713.204318907,443144.054494227,4000000,532322.54907467,729959.908504081,4000000,103132.268828345,4000000,58999.671830009,4000000,892091.849162435,4000000,0.895488731162588,0.999959998046938
12.2208357407787,1258772.45042208,5493162.98351066,37454.1201844114,110575.677861876,245555.172001282,442642.568420796,4000000,532322.551307424,730528.00752154,4000000,103281.534727891,4000000,59090.8401177542,4000000,892900.382367185,4000000,0.895702438521838,0.999959998046938
12.2458357407787,1276380.39708864,5587698.63533024,37819.3004052407,110340.19021318,250772.333637808,441929.604939533,4000000,532322.5544005,731334.933800846,4000000,103493.974727891,4000000,59220.5937400102,4000000,894049.502268747,4000000,0.896005416345259,0.999959998046938
12.2708357407787,1294064.18336616,5682179.76597084,38188.6121030019,110167.781379775,255710.333907146,441217.951006566,4000000,532322.557396636,732140.378832042,4000000,103706.414727891,4000000,59350.3473630078,4000000,895197.14092294,4000000,0.896307125190395,0.999959998046938
12.2958357407787,1311817.64505674,5776596.54684681,38561.8224545154,110054.500544813,260386.286470029,440508.036675297,4000000,532322.560298842,732944.779189391,4000000,103918.854727891,4000000,59480.1009867243,4000000,896343.734904006,4000000,0.896607685272882,0.999959998046938
12.3208357407787,1329636.04307063,5870944.51178445,38938.7438499813,109996.638347187,264816.619200012,439800.269770685,4000000,532322.563110069,733748.550674617,4000000,104131.294727891,4000000,59609.8546111372,4000000,897489.700013645,4000000,0.89690721003196,0.999959998046938
12.3458357407787,1347515.35417089,5965219.81935855,39319.2170965987,109991.068967128,269015.162752033,439094.990611664,4000000,532322.565832945,734552.042682784,4000000,104343.734727891,4000000,59739.6082362268,4000000,898635.385646902,4000000,0.897205794345368,0.999959998046938
12.3708357407787,1365451.04992374,6059417.72723771,39703.0640116658,110034.367152722,272997.042221412,438392.570381211,4000000,532322.568470291,735355.636707506,4000000,104556.174727891,4000000,59869.3618619714,4000000,899781.173297368,4000000,0.897503540350595,0.999959998046938
12.3958357407787,1383438.65453158,6153533.30558946,40090.1090486542,110123.204193186,276776.92330413,437693.366874384,4000000,532322.57102492,736159.702462986,4000000,104768.614727891,4000000,59999.1154883494,4000000,900927.432679227,4000000,0.897800545979474,0.999959998046938
12.4208357407787,1401474.08732218,6247561.99080077,40480.1922464391,110254.563825531,280368.072253047,436997.701198401,4000000,532322.573499495,736964.574331758,4000000,104981.054727891,4000000,60128.8691153401,4000000,902074.498174989,4000000,0.898096898933917,0.999959998046938
12.4458357407787,1419553.65013353,6341499.66533275,40873.1684807429,110425.71095092,283782.50487016,436305.861790962,4000000,532322.575896533,737770.555147114,4000000,105193.494727891,4000000,60258.6227429244,4000000,903222.672617929,4000000,0.898392677797642,0.999959998046938
